sentence_type,country,msg_type,repeat,mmsi,status,turn,speed,accuracy,lon,lat,course,heading,second,maneuver,raim,radio,ais_version,imo,callsign,shipname,ship_type,to_bow,to_stern,to_port,to_starboard,epfd,month,day,hour,minute,draught,destination,dte
AIVDM,Barbados,1,0,314876000,0,0.0,11.7,True,70.123783,13.790867,64.2,65,18,0,False,66361,,,,,,,,,,,,,,,,,
AIVDM,South Korea,3,0,440163000,8,0.0,12.5,True,71.14646,15.859948,136.1,139,19,0,False,77069,,,,,,,,,,,,,,,,,
AIVDM,Liberia,1,0,636015170,0,-1.0,10.2,False,70.900312,17.119363,83.2,85,23,0,False,155672,,,,,,,,,,,,,,,,,
AIVDM,Hong Kong,1,0,477174600,0,0.0,10.2,True,70.552567,19.335578,298.8,300,18,0,False,2292,,,,,,,,,,,,,,,,,
AIVDO,Unknown,1,0,987654321,0,0.0,6.2,True,72.931113,15.296502,177.3,179,22,0,True,0,,,,,,,,,,,,,,,,,
AIVDM,Marshall Islands,1,0,538005426,3,0.0,9.5,False,73.152703,13.938428,72.6,74,23,0,False,24600,,,,,,,,,,,,,,,,,
AIVDM,Panama,1,0,354252000,0,0.0,12.7,False,72.010852,14.789823,331.4,332,23,0,False,66395,,,,,,,,,,,,,,,,,
AIVDM,Singapore,1,0,563361000,0,0.0,17.7,False,71.999517,15.989733,147.8,148,43,0,False,24600,,,,,,,,,,,,,,,,,
AIVDM,Hong Kong,1,0,477242800,0,0.0,13.7,True,67.033183,16.078585,143.8,143,20,0,False,82176,,,,,,,,,,,,,,,,,
AIVDM,Marshall Islands,1,0,538010120,0,0.0,15.2,False,70.429575,17.570493,150.9,147,21,0,False,66407,,,,,,,,,,,,,,,,,
AIVDM,Liberia,1,0,636024681,8,-0.0,14.2,True,72.22456,12.45573,306.4,309,21,0,False,2279,,,,,,,,,,,,,,,,,
AIVDM,Malta,1,0,229716000,0,0.0,12.1,True,72.496468,13.934917,320.1,321,20,0,False,99192,,,,,,,,,,,,,,,,,
AIVDO,Unknown,1,0,987654321,0,0.0,6.2,True,72.931118,15.296472,176.2,179,23,0,True,0,,,,,,,,,,,,,,,,,
AIVDM,Marshall Islands,1,0,538009790,0,0.0,11.0,True,72.134667,15.1893,326.0,329,23,0,False,33668,,,,,,,,,,,,,,,,,
AIVDO,Unknown,1,0,987654321,0,0.0,6.2,True,72.931123,15.296438,177.3,179,24,0,True,0,,,,,,,,,,,,,,,,,
AIVDM,Antigua and Barbuda,1,0,305563000,0,-0.0,9.6,False,70.570722,19.157987,295.9,293,23,0,False,66470,,,,,,,,,,,,,,,,,
AIVDM,United Kingdom,1,0,235335000,0,0.0,16.3,True,71.755668,16.570245,153.2,150,19,0,False,49223,,,,,,,,,,,,,,,,,
AIVDM,Vietnam,1,0,574005600,0,0.0,14.3,True,72.907633,14.205633,132.0,133,25,0,False,99257,,,,,,,,,,,,,,,,,
AIVDM,Marshall Islands,1,0,538008997,0,0.0,11.6,False,73.071927,15.135938,347.5,347,23,0,False,66493,,,,,,,,,,,,,,,,,
AIVDO,Unknown,1,0,987654321,0,0.0,6.2,True,72.931122,15.296408,178.8,179,25,0,True,0,,,,,,,,,,,,,,,,,
AIVDM,Panama,1,0,353058000,0,0.0,9.8,False,71.5484,15.006833,314.2,315,25,0,False,2282,,,,,,,,,,,,,,,,,
AIVDM,Japan,1,0,431938000,0,0.0,14.4,False,69.587098,15.08508,141.1,142,23,0,False,24600,,,,,,,,,,,,,,,,,
AIVDM,Malta,5,0,229716000,,,,,,,,,,,,,2,9692844,9HA3544,CAPTAIN PARIS,89,210,42,24,21,1,10,17,9,0,8.2,FUJAIRAH FOR ORDERS,False
AIVDM,Singapore,1,0,566829000,0,6.0,14.0,False,70.279693,18.46218,159.3,157,20,0,False,33767,,,,,,,,,,,,,,,,,
AIVDO,Unknown,1,0,987654321,0,0.0,6.3,True,72.931122,15.296378,178.0,179,26,0,True,0,,,,,,,,,,,,,,,,,
AIVDM,Iran,1,0,422037100,0,0.0,10.2,False,74.124082,12.167633,331.1,330,25,0,False,49525,,,,,,,,,,,,,,,,,
AIVDM,Malta,1,0,215577000,0,0.0,17.1,True,69.744285,14.661387,129.4,127,26,0,False,66541,,,,,,,,,,,,,,,,,
AIVDM,India,1,0,419001019,0,0.0,12.1,False,72.042227,16.114202,151.9,151,26,0,False,82178,,,,,,,,,,,,,,,,,
AIVDM,India,1,0,419740000,0,0.0,12.6,True,72.466483,14.214333,140.0,139,27,0,False,99326,,,,,,,,,,,,,,,,,
AIVDM,Marshall Islands,1,0,538006490,0,0.0,10.9,False,72.422148,15.080773,166.5,158,51,0,False,115082,,,,,,,,,,,,,,,,,
AIVDM,Panama,1,0,352004121,0,0.0,11.3,False,72.102062,15.463177,335.2,332,25,0,False,49599,,,,,,,,,,,,,,,,,
AIVDM,India,1,0,419001470,0,0.0,11.3,False,73.586687,13.994187,340.4,340,26,0,False,99339,,,,,,,,,,,,,,,,,
AIVDO,Unknown,1,0,987654321,0,0.0,6.2,True,72.931117,15.296353,178.6,179,27,0,True,0,,,,,,,,,,,,,,,,,
AIVDM,Panama,1,0,352004122,8,0.0,10.7,False,73.739333,13.964333,137.0,137,25,0,False,115152,,,,,,,,,,,,,,,,,
AIVDM,Netherlands Antilles,3,0,306213000,0,0.0,12.6,False,70.655753,16.310902,313.3,316,49,0,False,149699,,,,,,,,,,,,,,,,,
AIVDM,Cyprus,1,0,212546000,0,0.0,11.2,True,70.320962,17.46528,126.3,126,25,0,False,33818,,,,,,,,,,,,,,,,,
AIVDM,Liberia,1,0,636020364,0,0.0,12.2,True,72.458637,14.247428,141.7,140,26,0,False,82278,,,,,,,,,,,,,,,,,
AIVDM,Marshall Islands,1,0,538008383,0,0.0,10.4,False,68.49337,17.094298,142.7,140,27,0,False,66592,,,,,,,,,,,,,,,,,
AIVDM,Panama,1,0,352002071,0,0.0,11.4,False,73.690962,14.402508,343.7,343,26,0,False,49896,,,,,,,,,,,,,,,,,
AIVDM,Panama,1,0,371847000,0,0.0,9.9,True,67.398245,15.975413,325.8,329,27,0,False,115004,,,,,,,,,,,,,,,,,
AIVDM,India,1,0,419001541,0,0.0,13.3,True,72.987333,15.277908,337.4,338,27,0,False,66601,,,,,,,,,,,,,,,,,
AIVDM,Guinea-Bissau,1,0,630001194,0,0.0,16.3,True,72.967198,15.7737,167.8,168,29,0,False,180721,,,,,,,,,,,,,,,,,
AIVDM,South Korea,1,0,440438000,0,0.0,11.7,False,73.867867,13.89615,338.0,341,26,0,False,24600,,,,,,,,,,,,,,,,,
AIVDO,Unknown,1,0,987654321,0,0.0,6.2,True,72.931115,15.296325,177.6,179,28,0,True,0,,,,,,,,,,,,,,,,,
AIVDM,Liberia,1,0,636024494,0,2.0,12.1,True,73.212063,14.901532,333.7,334,6,0,False,24600,,,,,,,,,,,,,,,,,
AIVDM,Liberia,1,0,636020930,0,0.0,11.2,False,74.84382,11.922163,342.0,342,27,0,False,33846,,,,,,,,,,,,,,,,,
AIVDM,Marshall Islands,1,0,538003862,0,0.0,11.8,True,70.483668,14.045247,314.0,315,29,0,False,33851,,,,,,,,,,,,,,,,,
AIVDM,Norway,1,0,258105000,0,0.0,12.5,True,69.594267,15.190483,133.0,134,27,0,False,2213,,,,,,,,,,,,,,,,,
AIVDO,Unknown,1,0,987654321,0,0.0,6.3,True,72.931122,15.296298,175.4,179,29,0,True,0,,,,,,,,,,,,,,,,,
AIVDM,Marshall Islands,1,0,538003951,0,0.0,12.5,True,70.827867,15.875533,318.0,320,29,0,False,82666,,,,,,,,,,,,,,,,,
